id,parent0,parent1,time,is_sample
3,10738,15265,0,1
8,14311,15140,0,1
16,13904,11446,0,1
23,14067,13978,0,1
26,16940,16209,0,1
29,12848,19571,0,1
32,13460,19833,0,1
39,15655,17057,0,1
53,13460,19833,0,1
77,13076,15865,0,1
81,16577,19716,0,1
95,19622,15366,0,1
101,15673,11101,0,1
111,11572,18517,0,1
122,13460,19833,0,1
147,13904,11446,0,1
154,13834,14942,0,1
156,10738,15265,0,1
158,16940,16209,0,1
165,15673,11101,0,1
182,18674,14241,0,1
184,16703,10555,0,1
208,11964,10084,0,1
213,10299,11200,0,1
223,16178,10526,0,1
226,19992,10665,0,1
227,11259,16857,0,1
233,10513,19251,0,1
234,19725,15864,0,1
237,16115,12230,0,1
241,15373,15489,0,1
260,15673,11101,0,1
275,12848,19571,0,1
286,13983,12510,0,1
287,12610,10528,0,1
289,19682,15629,0,1
291,10738,15265,0,1
305,13904,11446,0,1
314,18488,18037,0,1
316,11572,18517,0,1
331,10365,14555,0,1
337,17830,11286,0,1
345,11572,18517,0,1
346,19633,19030,0,1
350,14444,11419,0,1
356,18423,10200,0,1
364,14175,11803,0,1
398,19923,12505,0,1
408,15673,11101,0,1
427,15186,12283,0,1
434,11946,16027,0,1
437,15063,18255,0,1
439,19574,19708,0,1
448,19534,19719,0,1
451,19268,17065,0,1
456,12294,16726,0,1
461,15516,15148,0,1
464,16703,10555,0,1
465,18674,14241,0,1
471,10738,15265,0,1
475,13032,18209,0,1
482,16115,12230,0,1
484,13460,19833,0,1
513,13904,11446,0,1
532,13460,19833,0,1
538,18367,17932,0,1
542,14504,16835,0,1
543,19133,18848,0,1
628,18674,14241,0,1
642,14200,13030,0,1
664,15286,17879,0,1
703,12115,10319,0,1
726,13909,16896,0,1
728,11572,18517,0,1
742,14401,15291,0,1
749,15063,18255,0,1
750,10738,15265,0,1
751,11321,13337,0,1
755,13076,15865,0,1
772,18608,18092,0,1
801,15063,18255,0,1
823,12763,15698,0,1
836,14263,13381,0,1
