,pair_1,pair_2,ibd_frac,ibd_min_node,ibd_max_node,ibd_nsegments
0,0,36,0.014261,349712,349712,1
1,0,52,0.018662,343642,343642,1
2,0,107,0.064171,111732,349712,2
3,0,116,0.002691,322101,322101,1
4,0,122,0.064174,132053,132053,1
5,0,156,0.012214,343642,343642,1
6,0,173,0.029617,333721,333721,1
7,0,184,0.000838,277459,277459,1
8,0,208,0.033346,343773,343773,1
9,0,214,0.044259,141165,141165,1
10,0,242,0.014397,216346,216346,1
11,0,255,0.031437,369010,369010,1
12,0,262,0.002754,245230,245230,1
13,0,285,0.021291,369010,369010,1
14,0,297,0.024474,376200,376200,1
15,0,318,0.01706,277459,277459,1
16,0,353,0.073839,245230,245230,2
17,0,358,0.060353,222345,222345,1
18,0,371,0.072091,107739,107739,1
19,0,395,0.014261,349712,349712,1
20,0,454,0.064174,132053,132053,1
21,0,508,0.037928,327388,327388,1
22,0,513,0.056206,22936,22936,1
23,0,546,0.021935,369010,369010,1
24,0,559,0.019981,248970,248970,1
25,0,587,0.005956,263111,263111,1
26,0,597,0.012689,369010,369010,1
27,0,614,0.015978,248970,248970,1
28,0,637,0.072091,107739,107739,1
29,0,645,0.086091,128267,128267,1
30,0,648,0.064174,75001,75001,1
31,0,652,0.002691,354695,354695,1
32,0,685,0.030428,263111,263111,1
33,0,729,0.003691,289824,328602,2
34,0,735,0.018662,343642,343642,1
35,0,788,0.020425,289824,289824,1
36,0,792,0.007612,338800,338800,1
37,0,856,0.024474,376200,376200,1
38,0,884,0.007715,360062,360062,1
39,0,929,0.024137,107739,107739,1
40,0,950,0.010197,333721,333721,1
41,0,960,0.015978,248970,248970,1
42,0,990,0.034809,252664,263111,2
43,0,1017,0.056206,22936,22936,1
44,0,1018,0.021778,349712,349712,1
45,0,1031,0.018662,343642,343642,1
46,0,1043,0.014963,177750,177750,1
47,0,1072,0.011675,369010,369010,1
48,0,1078,0.001034,335618,335618,1
49,0,1107,0.010718,301559,301559,1
50,0,1127,0.037928,327388,327388,1
51,0,1132,0.002867,328602,328602,1
52,0,1135,0.010718,301559,301559,1
53,0,1137,0.001799,364151,364151,1
54,0,1167,0.014397,216346,216346,1
55,0,1187,0.11624,177750,177750,1
56,0,1193,0.024137,107739,107739,1
57,0,1198,0.007472,349712,349712,1
58,0,1215,0.009574,182214,182214,1
59,0,1225,0.029564,335618,335618,1
60,0,1249,0.022533,242533,242533,1
61,0,1251,0.002867,328602,328602,1
62,0,1263,0.025674,375219,375219,1
63,0,1287,0.0109,242533,242533,1
64,0,1322,0.031006,343642,343642,1
65,0,1349,0.076856,248970,248970,2
66,0,1367,0.004744,335618,335618,1
67,0,1387,0.021778,349712,349712,1
68,0,1493,0.021935,369010,369010,1
69,0,1500,0.021778,349712,349712,1
70,0,1502,0.064174,75001,75001,1
71,0,1510,0.013425,263111,263111,1
72,0,1528,0.002691,114899,114899,1
73,0,1546,0.032563,244081,244081,1
74,0,1568,0.007612,338800,338800,1
75,0,1617,0.002867,328602,328602,1
76,0,1620,0.002691,114899,114899,1
77,0,1633,0.068362,141165,141165,1
78,0,1658,0.019159,242533,242533,1
79,0,1659,0.038116,335618,335618,1
80,0,1663,0.01706,277459,277459,1
81,0,1667,0.032563,244081,244081,1
82,0,1698,0.083215,211661,211661,1
83,0,1710,0.064174,132053,132053,1
84,0,1718,0.021778,349712,349712,1
85,0,1740,0.007478,174986,174986,1
86,0,1744,0.002691,354695,354695,1
87,0,1753,0.112621,141165,141165,2
88,0,1795,0.015881,360062,360062,1
89,0,1797,0.031006,343642,343642,1
90,0,1810,0.032563,244081,244081,1
91,0,1823,0.086091,128267,128267,1
92,0,1826,0.031006,343642,343642,1
93,0,1879,0.038547,206174,206174,1
94,0,1895,0.030681,343642,343642,1
95,1,5,0.011737,321658,321658,1
96,1,10,0.0292,296868,296869,2
97,1,17,0.002717,297984,297984,1
98,1,20,0.011481,228150,228150,1
99,1,37,0.028347,206054,206054,1
100,1,38,0.002463,331654,331654,1
101,1,39,0.030953,168651,168651,1
102,1,43,0.017242,206054,206054,1
103,1,99,0.075373,206054,206054,1
104,1,114,0.021681,265066,265066,1
105,1,127,0.085648,242210,242210,1
106,1,137,0.006924,168651,168651,1
107,1,146,0.001838,206621,206621,1
108,1,164,0.009843,132944,132944,1
109,1,178,0.014105,93154,93154,1
110,1,185,0.023051,172862,172862,1
111,1,196,0.023419,336345,336345,1
112,1,212,0.026195,131730,131730,1
113,1,213,0.009258,206054,206054,1
114,1,236,0.076639,12852,12852,1
115,1,237,0.039426,172862,172862,1
116,1,246,0.085648,242210,242210,1
117,1,282,0.000326,199005,199005,1
118,1,326,0.028338,265066,265066,1
119,1,350,0.023051,172862,172862,1
120,1,352,0.002463,331654,331654,1
121,1,354,0.063861,164520,164520,1
122,1,401,0.017879,321658,321658,1
123,1,418,0.037167,299869,299869,1
124,1,434,0.036801,273994,273994,1
125,1,454,0.007963,269883,269883,1
126,1,460,0.0292,296868,296869,2
127,1,470,0.014105,93154,93154,1
128,1,506,0.023419,336345,336345,1
129,1,535,0.011503,206054,206054,1
130,1,539,0.039426,172862,172862,1
131,1,558,0.047331,20198,20198,1
132,1,595,0.043816,297984,297984,1
133,1,631,0.033455,328686,328686,1
134,1,643,0.009258,206054,206054,1
135,1,660,0.024078,297984,297984,1
136,1,686,0.005073,364061,364061,1
137,1,745,0.023743,242210,242210,1
138,1,772,0.009258,206054,206054,1
139,1,784,0.009116,297984,297984,1
140,1,796,0.004776,299869,299869,1
141,1,809,0.0101,265066,265066,1
142,1,852,0.038488,190874,190874,1
143,1,1014,0.002463,331654,331654,1
144,1,1051,0.009843,132944,132944,1
145,1,1061,0.004322,265066,265066,1
146,1,1095,0.009258,206054,206054,1
147,1,1103,0.037412,299869,299869,1
148,1,1147,0.005073,364061,364061,1
149,1,1165,0.001838,206621,206621,1
150,1,1177,0.020188,202305,202305,1
151,1,1208,0.002463,331654,331654,1
152,1,1248,0.005073,364061,364061,1
153,1,1272,0.015147,297984,297984,1
154,1,1312,0.037167,299869,299869,1
155,1,1344,0.016177,336345,336345,1
156,1,1383,0.002463,331654,331654,1
157,1,1386,0.00018,296869,296869,1
158,1,1397,0.000326,199005,199005,1
159,1,1424,0.028338,265066,265066,1
160,1,1456,0.006408,364731,364731,1
161,1,1500,0.224213,57053,57053,1
162,1,1511,0.024614,321658,321658,1
163,1,1591,0.075373,206054,206054,1
164,1,1626,0.026195,131730,131730,1
165,1,1627,0.023051,172862,172862,1
166,1,1737,0.035516,183380,183380,1
167,1,1794,0.047735,297984,297984,1
168,1,1846,0.021681,265066,265066,1
169,1,1870,0.035516,183380,183380,1
170,1,1875,0.033799,57053,57053,1
171,1,1945,0.020264,269883,269883,1
172,1,1947,0.030953,168651,168651,1
173,1,1951,0.004928,265066,265066,1
174,1,1982,0.060392,150957,150957,1
175,1,1995,0.005923,296868,296868,1
176,2,25,0.022795,311346,311346,1
177,2,31,0.034365,332352,332352,1
178,2,32,0.037879,306692,306692,1
179,2,39,0.056593,199630,199630,1
180,2,54,0.096142,253411,253411,1
181,2,60,0.022795,311346,311346,1
182,2,86,0.062314,332352,332352,1
183,2,98,0.010501,253411,253411,1
