,pair_1,pair_2,ibd_frac,ibd_min_node,ibd_max_node,ibd_nsegments
0,0,55,0.003527,135862,135862,1
1,0,186,0.009853,137130,137130,1
2,0,196,0.59985,9175,9175,1
3,0,206,0.025901,201457,201457,1
4,0,267,0.197121,181883,181883,1
5,0,275,0.01506,141225,141225,1
6,0,283,0.015048,193659,193659,1
7,0,306,0.001705,355118,355118,1
8,0,308,0.035771,96034,96034,1
9,0,314,0.001852,310238,310238,1
10,0,316,0.50272,2180,2180,1
11,0,404,0.007179,351259,351259,1
12,0,427,0.001268,166156,166156,1
13,0,486,0.025305,55622,55622,1
14,0,726,0.014521,297392,297392,1
15,0,741,0.019876,9175,9175,1
16,0,845,0.007343,347751,347751,1
17,0,853,0.011731,96034,96034,1
18,0,924,0.006316,265797,265797,1
19,0,939,0.113233,229593,229593,1
20,0,962,0.022019,265797,265797,1
21,0,977,0.04533,55622,55622,1
22,0,1014,0.16437,55622,55622,1
23,0,1139,0.056854,265797,265797,1
24,0,1145,0.056854,265797,265797,1
25,0,1179,0.005837,181883,181883,1
26,0,1254,0.014712,177089,177089,1
27,0,1306,0.005837,181883,181883,1
28,0,1333,0.020163,363565,363565,1
29,0,1418,0.021379,184169,184169,1
30,0,1455,0.16456,55622,55622,3
31,0,1467,0.024734,322414,322414,1
32,0,1482,0.024734,322414,322414,1
33,0,1503,0.019117,242678,242678,1
34,0,1525,0.068224,265797,265797,1
35,0,1566,0.015048,193659,193659,1
36,0,1598,0.001268,166156,166156,1
37,0,1615,0.004144,160641,160641,1
38,0,1667,0.009853,137130,137130,1
39,0,1749,0.027349,217343,217343,1
40,0,1765,0.06451,265797,265797,1
41,0,1804,0.020163,363565,363565,1
42,0,1831,0.015688,233528,351259,2
43,0,1833,0.002421,328382,328382,1
44,0,1844,0.005864,105022,105022,1
45,0,1942,0.009853,137130,137130,1
46,0,1951,0.010959,310238,310238,1
47,1,16,0.011464,357795,357795,1
48,1,19,0.062069,352161,352161,1
49,1,72,0.003672,334748,334748,1
50,1,87,0.013629,292598,292598,1
51,1,94,0.01582,357795,357795,1
52,1,95,0.008622,231908,231908,1
53,1,110,0.038869,298077,298077,1
54,1,118,0.0307,352161,352161,1
55,1,194,0.738092,17914,17914,1
56,1,198,0.007109,364603,364603,1
57,1,230,0.011464,357795,357795,1
58,1,235,0.014365,298077,298077,1
59,1,283,0.028003,352161,352161,1
60,1,317,0.202503,5374,5374,1
61,1,321,0.062069,352161,352161,1
62,1,362,0.010627,173003,173003,1
63,1,374,0.059058,193265,193265,1
64,1,386,0.036835,121729,121729,1
65,1,452,0.036901,352161,352161,1
66,1,468,0.009795,354610,354610,1
67,1,481,0.014581,292598,338125,2
68,1,486,0.006177,352161,352161,1
69,1,517,0.018571,231908,231908,1
70,1,525,0.007134,193265,193265,1
71,1,529,0.01582,219685,219685,1
72,1,561,0.054473,352161,352161,1
73,1,616,0.011464,357795,357795,1
74,1,636,0.052565,44628,44628,1
75,1,664,0.012053,352161,352161,1
76,1,679,0.005567,158026,158026,1
77,1,681,0.005567,373138,373138,1
78,1,699,0.027009,352161,352161,1
79,1,758,0.011464,357795,357795,1
80,1,763,0.024796,87942,87942,1
81,1,786,0.001521,186122,186122,1
82,1,798,0.005567,158026,158026,1
83,1,812,0.003541,302461,302461,1
84,1,830,0.001517,343992,343992,1
85,1,835,0.000526,253172,253172,1
86,1,912,0.025199,332216,332216,1
87,1,921,0.044344,253172,253172,1
88,1,936,0.006944,357795,357795,1
89,1,947,0.051547,283651,283651,1
90,1,956,0.012215,87942,87942,1
91,1,962,0.062069,352161,352161,1
92,1,971,0.080422,238943,238943,1
93,1,972,0.013784,338125,338125,1
94,1,973,0.025199,332216,332216,1
95,1,1026,0.034473,283651,283651,1
96,1,1048,0.025412,68706,68706,1
97,1,1050,0.011464,357795,357795,1
98,1,1055,0.010141,272566,272566,1
99,1,1062,0.015886,224321,224321,1
100,1,1069,0.022675,343992,343992,1
101,1,1090,0.012053,352161,352161,1
102,1,1114,0.037812,95722,95722,1
103,1,1138,0.025412,68706,68706,1
104,1,1149,0.034434,95722,95722,1
105,1,1159,0.008497,255584,255584,1
106,1,1178,0.043744,253172,253172,1
107,1,1264,0.005594,193265,193265,1
108,1,1310,0.000446,116100,116100,1
109,1,1316,0.000952,338125,338125,1
110,1,1325,0.036901,352161,352161,1
111,1,1343,0.014365,298077,298077,1
112,1,1363,0.006168,267063,267063,1
113,1,1367,0.069093,217758,217758,1
114,1,1431,0.008497,255584,255584,1
115,1,1474,0.014365,298077,298077,1
116,1,1507,0.024925,255584,255584,1
117,1,1530,0.030167,253172,253172,1
118,1,1543,0.022716,95722,95722,1
119,1,1556,0.020309,352161,352161,1
120,1,1570,0.001517,343992,343992,1
121,1,1587,0.044344,253172,253172,1
122,1,1607,0.193723,92609,92609,1
123,1,1647,0.024619,238943,238943,1
124,1,1656,0.075824,92609,92609,1
125,1,1673,0.060774,217758,217758,1
126,1,1690,0.01582,219685,219685,1
127,1,1718,0.034473,283651,283651,1
128,1,1725,0.006944,357795,357795,1
129,1,1741,0.051931,280226,280226,1
130,1,1747,0.017041,365424,365424,1
131,1,1750,0.045728,281228,281228,1
132,1,1755,0.027016,87238,87238,1
133,1,1763,0.01582,357795,357795,1
134,1,1839,0.001192,354610,354610,1
135,1,1856,0.018284,193265,193265,1
136,1,1861,0.051931,280226,280226,1
137,1,1890,0.023088,352161,352161,1
138,1,1913,0.011464,357795,357795,1
139,1,1988,0.041812,238943,238943,1
140,2,75,0.005675,341918,341918,1
141,2,116,0.044149,145350,145350,1
142,2,121,0.073844,114284,375087,2
143,2,123,0.022227,36060,36060,1
144,2,148,0.003719,146486,146486,1
145,2,197,0.049652,173579,173579,1
146,2,209,0.032586,29186,29186,1
147,2,220,0.013065,172318,172318,1
148,2,281,0.014414,182857,182857,1
149,2,311,0.029585,148779,148779,1
