,ibd_lengths,ibd_nodes
319,42691.0,231017
320,47828.0,325917
321,15975.0,211513
322,3134.0,307924
323,12990.0,295227
324,26726.0,365371
325,67779.0,123282
326,15695.0,365371
327,6872.0,365371
328,10390.0,167823
329,12436.0,245332
330,15518.0,360793
331,50684.0,249729
332,29601.0,179649
333,159644.0,3890
334,30974.0,350477
335,74509.0,155020
336,977.0,237882
337,225.0,350477
338,18463.0,261127
339,29601.0,179649
340,35567.0,357892
341,21559.0,360793
342,5716.0,195636
343,25105.0,360793
344,4730.0,295227
345,97.0,365371
346,111644.0,39178
347,21226.0,195636
348,32781.0,249729
349,8061.0,256429
350,30352.0,365371
351,30974.0,350477
352,157433.0,43987
353,977.0,237882
354,29194.0,344396
355,8294.0,275030
356,643.0,309868
357,838.0,241680
358,30352.0,365371
359,2149.0,296881
360,5003.0,226136
361,838.0,241680
362,237267.0,21208
363,2257.0,282314
364,2665.0,258204
365,5922.0,346176
366,16179.0,282314
367,48390.0,258205
368,67658.0,84063
369,36815.0,272231
370,59023.0,218405
371,11953.0,218405
372,43422.0,218405
373,22521.0,162579
374,29846.0,344110
375,6001.0,194668
376,22521.0,162579
377,59023.0,218405
378,38130.0,258205
379,37353.0,358431
380,39534.0,272231
381,5922.0,346176
382,59023.0,218405
383,8352.0,354867
384,78016.0,258205
385,49643.0,67523
386,54772.0,67523
387,11149.0,269362
388,23034.0,258205
389,7512.0,354867
390,64794.0,354867
391,26281.0,282806
392,54772.0,67523
393,25969.0,67523
394,10995.0,67523
395,15034.0,317280
396,37268.0,231232
397,86449.0,12498
398,28136.0,67523
399,9949.0,270162
400,11911.0,258205
401,43606.0,258205
402,50223.0,6938
403,12371.0,337888
404,7295.0,346176
405,167499.0,258205
406,655609.0,21208
407,17544.0,272876
408,31602.0,325234
409,2257.0,282314
410,21077.0,282314
411,26579.0,231232
412,67767.0,354867
413,2864.0,196332
414,2257.0,282314
415,12371.0,337888
416,5922.0,346176
417,12119.0,337888
418,15299.0,231232
419,15067.0,194668
420,78016.0,258205
421,22154.0,341516
422,39534.0,272231
423,582378.0,15138
424,8931.0,258205
425,4211.0,151977
426,4282.0,239104
427,117172.0,56389
428,33676.0,48927
429,32552.0,250480
430,20873.0,306610
431,49973.0,230216
432,131.0,263393
433,17824.0,231867
434,16496.0,250480
435,52051.0,354577
436,2317.0,371750
437,31384.0,328602
438,4282.0,239104
439,115445.0,107298
440,31384.0,328602
441,12221.0,304394
442,28393.0,264721
443,31384.0,306610
444,685.0,263393
445,19216.0,42176
446,30858.0,107298
447,20332.0,264721
448,16656.0,328602
449,685.0,263393
450,178319.0,3560
451,58941.0,3560
452,51159.0,3561
453,1213.0,151977
454,30858.0,107298
455,4211.0,151977
456,4976.0,227736
457,19803.0,227736
458,14626.0,231867
459,31384.0,328602
460,4282.0,239104
461,4211.0,151977
462,21446.0,63511
463,33676.0,63511
464,4282.0,239104
465,11395.0,328227
466,20332.0,264721
467,8145.0,360897
468,32510.0,354577
469,5494.0,113244
470,1213.0,151977
471,778.0,225423
472,7656.0,225423
473,10359.0,225423
474,25064.0,230216
475,1687.0,231867
476,32552.0,250480
477,49973.0,250480
478,31384.0,328602
479,29889.0,354577
480,34765.0,250480
481,7311.0,321658
482,7738.0,249894
483,33655.0,107298
484,19803.0,227736
485,47664.0,189393
486,1693.0,36031
487,19193.0,36031
488,169708.0,36031
489,4282.0,239104
490,58941.0,116511
491,49973.0,230216
492,28074.0,328602
493,150175.0,42176
494,4282.0,239104
495,20635.0,328227
496,16602.0,328227
497,36746.0,354577
498,31384.0,328602
499,2317.0,284746
500,4282.0,239104
501,930.0,290788
502,8227.0,261186
503,12221.0,304394
504,49620.0,174310
505,329.0,239104
506,7738.0,207617
507,13505.0,360897
508,49973.0,250480
509,91930.0,354577
510,105029.0,36031
511,31384.0,328602
512,27163.0,93951
513,155364.0,107298
514,4282.0,239104
515,11395.0,328227
516,8715.0,36031
517,17872.0,264721
518,3556.0,189393
519,21602.0,230216
520,49973.0,250480
521,30510.0,328602
522,13505.0,360897
523,20635.0,328227
524,16602.0,328227
525,32130.0,375262
526,20403.0,123898
527,16656.0,328602
528,19226.0,333721
529,1297.0,374897
530,30047.0,334963
531,116416.0,22548
532,13738.0,363198
533,9323.0,139406
534,81982.0,151357
535,1902.0,288842
536,81982.0,151357
537,2129.0,58631
538,2048.0,347641
539,3783.0,300677
540,9193.0,367742
541,9038.0,294661
542,8581.0,293410
543,164795.0,22548
544,59202.0,216747
545,44380.0,293410
546,11144.0,293410
547,3134.0,58631
548,15620.0,334963
549,2812.0,230576
550,7863.0,288842
551,14845.0,238684
552,49743.0,210959
553,13738.0,373643
554,37525.0,293410
555,8403.0,279376
556,658.0,327201
557,159353.0,22548
558,13738.0,373643
559,37658.0,80888
560,7319.0,273764
561,4871.0,165118
562,31492.0,274299
563,27154.0,192884
564,9298.0,294661
565,9477.0,192884
566,2048.0,347641
567,19859.0,367742
568,14953.0,215781
569,50314.0,151357
570,6035.0,174792
571,151676.0,64293
572,13738.0,373643
573,35450.0,67507
574,9298.0,294661
575,22048.0,276057
576,18833.0,285555
577,3134.0,325909
578,14953.0,215781
579,25119.0,44887
580,11144.0,293410
581,58766.0,32282
582,50314.0,151357
583,31492.0,274299
584,9193.0,367742
585,27154.0,192884
586,3783.0,300677
587,27154.0,192884
588,30047.0,74878
589,38867.0,165118
590,27480.0,165118
591,27154.0,192884
592,1439.0,320560
593,2048.0,347641
594,14845.0,238684
595,27154.0,192884
596,18833.0,285555
597,13738.0,363198
598,18399.0,273764
599,927.0,192884
600,1297.0,374897
601,13802.0,192884
602,27156.0,80888
603,6861.0,80888
604,38867.0,165118
605,41358.0,165118
606,5073.0,282144
607,31658.0,281899
608,18399.0,273764
609,38867.0,238684
610,49542.0,139406
611,59202.0,216747
612,3152.0,331024
613,59202.0,216747
614,2257.0,282314
615,23239.0,297653
616,44366.0,105727
617,2141.0,329593
618,28042.0,43247
619,16179.0,282314
620,4147.0,79016
621,59023.0,218405
622,11953.0,218405
623,43422.0,218405
624,84.0,313880
625,17899.0,313880
626,21677.0,74688
627,21677.0,74688
628,29846.0,344110
629,10905.0,269214
630,10328.0,342637
631,6037.0,338305
632,59023.0,218405
633,59023.0,218405
634,8352.0,354867
635,72202.0,121464
636,65075.0,110421
637,49643.0,67523
638,54772.0,67523
639,33365.0,110421
640,21677.0,74688
641,23239.0,297653
642,37772.0,79016
643,12381.0,230154
644,1607.0,330309
645,7512.0,354867
646,131708.0,196052
647,33015.0,10428
648,15405.0,360030
649,9205.0,349463
650,64794.0,354867
651,4211.0,151977
652,23239.0,297653
653,2141.0,329593
654,54772.0,67523
655,25969.0,67523
656,33789.0,121464
657,64424.0,291737
658,10995.0,67523
659,4175.0,241559
660,10328.0,342637
661,65075.0,110421
662,10682.0,170760
663,262.0,313880
664,10085.0,79016
665,28136.0,67523
666,20801.0,297653
667,33789.0,121464
668,25936.0,201870
669,19010.0,312561
670,67132.0,313880
671,144.0,312561
672,237267.0,10429
673,17544.0,272876
674,4175.0,241559
675,2257.0,282314
676,20282.0,196052
677,21077.0,282314
678,26579.0,231232
679,2141.0,329593
680,67767.0,354867
681,2864.0,196332
682,23239.0,297653
683,20801.0,297653
684,2257.0,282314
685,10490.0,333738
686,19974.0,302081
687,28387.0,329122
688,16304.0,196052
689,2141.0,329593
690,10682.0,170760
691,2141.0,329593
692,28826.0,121464
693,23239.0,297653
694,236059.0,21208
695,4211.0,151977
696,67132.0,313880
697,11178.0,333791
698,44696.0,249270
699,59202.0,297288
700,8694.0,297288
701,30432.0,363317
702,30432.0,363317
703,6026.0,297288
704,20010.0,121551
705,77545.0,268385
706,70113.0,127479
707,480.0,297288
708,21202.0,329380
709,25690.0,318606
710,122543.0,112024
711,12823.0,355313
712,32140.0,333791
713,18929.0,227993
714,27039.0,297288
715,5535.0,249270
716,5661.0,332338
717,41530.0,268385
718,2215.0,345875
719,81651.0,320934
720,46288.0,297288
721,59460.0,153675
722,27302.0,357010
723,6659.0,230378
724,41169.0,201060
725,30432.0,363317
726,23203.0,363317
727,11178.0,333791
728,123913.0,164507
729,13769.0,321899
730,2333.0,356025
731,12405.0,268385
732,70113.0,127479
733,24443.0,297288
734,57825.0,69099
735,76754.0,127479
736,59487.0,297288
737,32140.0,333791
738,24202.0,363317
739,33604.0,161070
740,32140.0,333791
741,14547.0,227993
742,19854.0,363317
743,71286.0,249270
744,33604.0,161070
745,23203.0,363317
746,27302.0,357010
747,76722.0,320934
748,16123.0,320934
749,51739.0,249270
750,6026.0,297288
751,30432.0,363317
752,19779.0,249270
753,11178.0,333791
754,1879.0,201060
755,78242.0,297288
756,6196.0,355313
757,78222.0,320934
758,33924.0,69099
759,62168.0,202976
760,60131.0,39134
761,32140.0,333791
762,46288.0,297288
763,13769.0,321899
764,18325.0,355313
