,ibd_lengths,ibd_nodes
0,314409.0,364387
1,579114.0,219656
2,606613.0,219656
3,483105.0,64718
4,386454.0,362419
5,161910.0,323216
6,19189.0,154829
7,1000000.0,9174
8,463038.0,64718
9,314409.0,364387
10,109619.0,301194
11,386454.0,362419
12,231477.0,203025
13,161910.0,323216
14,579114.0,219656
15,161910.0,323216
16,408922.0,149503
17,109619.0,301194
18,80751.0,323216
19,606613.0,364387
20,381358.0,378235
21,14922.0,332217
22,50925.0,298961
23,272232.0,378235
24,272232.0,378235
25,864584.0,5375
26,14922.0,332217
27,196011.0,378235
28,263505.0,332217
29,648650.0,184590
30,196011.0,378235
31,15024.0,305390
32,15024.0,305390
33,50925.0,298961
34,14922.0,332217
35,14922.0,332217
36,196011.0,378235
37,263505.0,332217
38,272232.0,378235
39,852500.0,184590
40,188171.0,332217
41,14922.0,332217
42,196011.0,378235
43,709716.0,332217
44,59225.0,378822
45,1000000.0,129965
46,1000000.0,129965
47,456036.0,129965
48,152752.0,378822
49,1000000.0,129965
50,403202.0,375058
51,75040.0,335998
52,303879.0,375058
53,233914.0,375058
54,195601.0,272778
55,324840.0,374102
56,39376.0,294893
57,16738.0,312609
58,397455.0,303611
59,282330.0,374102
60,324840.0,374102
61,271313.0,374102
62,360766.0,303611
63,324840.0,374102
64,1000000.0,117212
65,15273.0,374102
66,324840.0,374102
67,207379.0,303611
68,83312.0,303611
69,15273.0,374102
70,324840.0,374102
71,142604.0,219126
72,324840.0,374102
73,1000000.0,117212
74,179118.0,374102
75,397455.0,303611
76,246336.0,129414
77,1000000.0,15365
78,33767.0,64013
79,246336.0,64013
80,335080.0,243876
81,49627.0,243876
82,229856.0,186936
83,335080.0,243876
84,49627.0,243876
85,43747.0,379296
86,53682.0,243877
87,28345.0,164090
88,122079.0,27100
89,377988.0,164090
90,28345.0,164090
91,1000000.0,3096
92,62708.0,243876
93,316016.0,188721
94,377988.0,164090
95,28345.0,164090
96,43747.0,379296
97,193198.0,149214
98,193198.0,100992
99,454193.0,98045
100,54377.0,359356
101,454193.0,143321
102,55556.0,143321
103,68988.0,301162
104,68988.0,301162
105,51040.0,143321
106,54377.0,359356
107,54377.0,359356
108,1000000.0,5344
109,55556.0,143321
110,91383.0,303484
111,120375.0,303484
112,54377.0,359356
113,54377.0,359356
114,193198.0,49561
115,454193.0,21908
116,298232.0,21908
117,108869.0,263242
118,112420.0,184259
119,410590.0,91876
120,306272.0,239209
121,112420.0,184259
122,82721.0,184259
123,306272.0,239209
124,112420.0,184259
125,269413.0,54992
126,101991.0,186863
127,38148.0,186863
128,55708.0,236552
129,52952.0,236552
130,242043.0,236552
131,38148.0,186863
132,38148.0,186863
133,55708.0,236552
134,52952.0,236552
135,12961.0,236552
136,101991.0,150274
137,101991.0,186863
138,101991.0,186863
139,38148.0,186863
140,101991.0,186863
141,52534.0,236552
142,1000000.0,16749
143,1000000.0,2361
144,111039.0,245566
145,111039.0,245566
146,111039.0,245566
147,111039.0,245566
148,923337.0,47333
149,28491.0,361629
150,369462.0,329977
151,229949.0,360944
152,536842.0,193089
153,1000000.0,7399
154,451178.0,329977
155,195002.0,119233
156,700711.0,193089
157,84.0,119233
158,85820.0,317512
159,120020.0,271084
160,215053.0,271084
161,24159.0,345288
162,721578.0,81810
163,130120.0,330013
164,54427.0,173323
165,24159.0,345288
166,24159.0,345288
167,24159.0,345288
168,85820.0,317512
169,81053.0,79723
170,91992.0,323211
171,507826.0,77670
172,207.0,320277
