,ibd_lengths,ibd_nodes
0,420745.0,109143
1,1000000.0,105033
2,143467.0,268596
3,31375.0,14893
4,968625.0,177440
5,664098.0,151248
6,31375.0,36962
7,114206.0,177440
8,31375.0,36962
9,31375.0,191901
10,67454.0,65583
11,31375.0,191901
12,234289.0,151248
13,302942.0,7795
14,589410.0,30518
15,57186.0,252579
16,195601.0,66728
17,195601.0,66728
18,585610.0,119334
19,195601.0,3890
20,56615.0,376113
21,195601.0,46169
22,15897.0,67742
23,86150.0,129268
24,585610.0,119334
25,56615.0,376113
26,45633.0,96860
27,648874.0,193512
28,174089.0,318973
29,174089.0,318973
30,648874.0,193512
31,36419.0,278172
32,36419.0,295751
33,36419.0,128188
34,399671.0,26316
35,13556.0,362148
36,287953.0,193512
37,174089.0,318973
38,36419.0,295751
39,157784.0,193512
40,174089.0,318973
41,858488.0,303448
42,565949.0,257019
43,993827.0,3560
44,169202.0,303448
45,565949.0,257019
46,661097.0,303448
47,731059.0,79294
48,1000000.0,71779
49,175884.0,38928
50,189248.0,54571
51,169086.0,316279
52,430055.0,297643
53,194828.0,312953
54,335559.0,316279
55,14028.0,297643
56,893989.0,297643
57,302158.0,312953
58,454016.0,316279
59,454016.0,316279
60,468119.0,297643
61,302158.0,312953
62,14028.0,297643
63,893989.0,297643
64,454016.0,316279
65,39965.0,308885
66,158744.0,365685
67,39965.0,308885
68,57970.0,223964
69,356453.0,223964
70,195772.0,365685
71,211058.0,365685
72,241270.0,365685
73,108909.0,365685
74,358646.0,223964
75,378153.0,223964
76,579325.0,347787
77,241270.0,365685
78,108909.0,365685
79,385462.0,347787
80,445170.0,347787
81,39965.0,308885
82,108909.0,365685
83,290710.0,136374
84,39965.0,308885
85,211058.0,365685
86,270103.0,365685
87,574527.0,223964
88,39965.0,308885
89,169206.0,318396
90,410590.0,87833
91,443133.0,119334
92,118982.0,318396
93,6459.0,272883
94,443133.0,119334
95,201643.0,281693
96,201643.0,281693
97,274195.0,350283
98,581573.0,257065
99,128599.0,281693
100,219542.0,257065
101,25967.0,281693
102,581573.0,257065
103,581573.0,257065
104,201643.0,281693
105,183000.0,192530
106,183000.0,192530
107,576861.0,163485
108,183000.0,192530
109,96059.0,192530
110,835229.0,17677
111,675480.0,163485
112,675480.0,163485
113,83824.0,163485
114,225960.0,349492
115,183000.0,192530
116,77335.0,95062
117,159844.0,33435
118,103774.0,326925
119,47534.0,231011
120,566482.0,177801
121,47534.0,231011
122,47534.0,231011
123,204904.0,83437
124,330094.0,116048
125,204904.0,83437
126,257639.0,116048
127,1000000.0,4943
128,795096.0,205232
129,298891.0,205232
130,204904.0,83437
131,14702.0,235050
132,65151.0,235051
133,49470.0,296276
134,63743.0,372177
135,49470.0,296276
136,403615.0,142955
137,48553.0,170735
138,354145.0,239578
139,134266.0,306350
140,86376.0,317863
141,913624.0,60077
142,878899.0,60077
143,1000000.0,8983
144,26440.0,294202
145,44880.0,294202
146,26440.0,294202
147,44880.0,294202
148,26440.0,169002
149,270269.0,169002
150,288853.0,293777
151,253910.0,169002
152,26440.0,169002
153,270269.0,169002
154,26440.0,294202
155,44880.0,294202
156,26440.0,169002
157,10137.0,250650
158,116440.0,113571
159,44485.0,269719
160,88622.0,250650
161,14071.0,250650
162,120475.0,219745
163,328307.0,378843
164,116440.0,250650
165,116440.0,85899
166,10137.0,250650
167,116440.0,250650
168,1000000.0,7643
169,3989.0,242425
170,3989.0,242425
171,278936.0,350722
172,81682.0,249331
173,657146.0,268735
174,348735.0,129641
175,89440.0,249331
176,40384.0,350722
177,35656.0,350722
178,348735.0,129641
179,35656.0,350722
180,338581.0,224181
181,35656.0,350722
182,170270.0,249331
183,170270.0,249331
184,35656.0,350722
185,128619.0,249331
186,7267.0,208722
187,526363.0,224181
188,62009.0,95647
189,186165.0,114958
190,348943.0,173922
191,350278.0,263279
192,348943.0,173922
193,651057.0,176919
194,651057.0,176919
195,62062.0,111150
196,186165.0,114958
197,348943.0,173922
198,256442.0,173922
199,277395.0,133564
200,62009.0,95647
201,18696.0,263279
202,251.0,133564
203,463808.0,176919
204,172748.0,21815
205,17142.0,133564
206,62009.0,95647
207,33626.0,220113
208,33626.0,220113
209,894390.0,127920
210,33626.0,220113
211,283154.0,164254
212,576370.0,151968
213,202619.0,164254
214,1000000.0,65195
215,250591.0,323848
216,143548.0,151968
217,576370.0,151968
218,24049.0,164254
219,225138.0,234200
220,182661.0,151968
221,402485.0,234200
222,124289.0,208100
223,202619.0,164254
224,265165.0,312912
225,99773.0,234200
226,182661.0,151968
227,158048.0,323848
228,294932.0,323848
229,253631.0,117794
230,422050.0,92767
231,283154.0,164254
232,283154.0,164254
233,6051.0,151968
234,164400.0,95387
235,421973.0,237667
236,334589.0,165336
237,370541.0,237667
238,164400.0,95387
239,285543.0,165336
240,78749.0,165336
241,83710.0,350685
242,164400.0,95387
243,313857.0,294098
244,232777.0,178275
245,199402.0,194214
246,257360.0,76956
247,238833.0,161264
248,167843.0,368596
249,167843.0,368596
250,1000000.0,8403
251,741.0,234368
252,220977.0,289295
253,280712.0,289295
254,412047.0,169795
255,280712.0,289295
256,50652.0,189036
257,50652.0,60052
258,50652.0,60052
259,741.0,234368
260,379777.0,80271
261,114806.0,289295
262,280712.0,289295
263,373302.0,168726
264,401351.0,189186
265,373302.0,168726
266,187166.0,316672
267,27840.0,276463
268,91468.0,151556
269,28596.0,356043
270,91468.0,151556
271,330756.0,276463
272,401351.0,189186
273,187166.0,316672
274,27840.0,276463
275,401351.0,151126
276,5444.0,214449
277,89521.0,188310
278,78761.0,316883
279,47577.0,316883
280,420745.0,109143
281,418619.0,316883
282,78761.0,316883
283,89521.0,188310
284,398695.0,376166
285,418619.0,316883
286,1885.0,376166
287,293744.0,276276
288,597889.0,119044
289,36355.0,99045
290,293744.0,276276
291,690791.0,119044
292,293744.0,276276
293,293744.0,276276
294,125738.0,119044
295,1000000.0,4317
296,71958.0,326653
297,382246.0,252140
298,345037.0,66878
299,3477.0,66879
300,44344.0,326653
301,71958.0,326653
302,794744.0,252140
303,71891.0,194609
304,104762.0,333985
305,217138.0,304022
306,51608.0,326653
307,71958.0,326653
308,164771.0,143475
309,71958.0,326653
310,104762.0,333985
311,104762.0,333985
312,794744.0,252140
313,94669.0,304022
314,213475.0,252140
315,63873.0,292886
316,354300.0,187147
317,63873.0,292886
318,958498.0,208541
319,114193.0,327504
320,958498.0,221220
321,669185.0,327504
322,41502.0,309342
323,685274.0,327504
324,106782.0,208541
325,958498.0,208541
326,833798.0,208541
327,94386.0,208541
328,685274.0,327504
329,691891.0,90821
330,198229.0,208541
331,685274.0,327504
332,777114.0,46845
333,106782.0,208541
334,75242.0,148006
335,757983.0,208541
336,94386.0,208541
337,107697.0,221220
338,41502.0,309342
339,1000000.0,2251
340,833798.0,208541
341,476183.0,221220
342,623881.0,208541
343,958498.0,208541
344,525893.0,327504
345,198229.0,208541
346,23847.0,345062
347,476183.0,221220
348,757983.0,208541
349,269844.0,330646
350,320770.0,330646
351,214447.0,330646
352,142191.0,149581
353,92321.0,324477
354,1995.0,324477
355,555077.0,330646
356,92321.0,324477
357,269844.0,330646
358,269844.0,330646
359,142191.0,84805
360,41655.0,330646
361,530491.0,64069
362,815493.0,64069
363,150588.0,158932
364,177604.0,130605
365,177604.0,159697
366,109303.0,367267
367,374806.0,155457
368,89588.0,290794
369,89588.0,290794
370,374806.0,155457
371,693572.0,70190
372,238528.0,70190
373,374806.0,155457
374,89588.0,290794
375,374806.0,155457
376,109303.0,367267
377,374806.0,155457
378,693572.0,70190
379,238528.0,70190
380,109303.0,367267
381,28023.0,263023
382,1708.0,71396
383,222565.0,263023
384,222565.0,263023
385,193339.0,263023
386,28023.0,263023
387,1000000.0,9370
388,391127.0,294202
389,28521.0,294202
390,135415.0,363875
391,233337.0,361128
392,716721.0,294202
393,996181.0,66985
394,495446.0,294202
395,30918.0,276463
396,30918.0,186898
397,30687.0,276463
398,30918.0,186898
399,30687.0,276463
400,444047.0,37784
401,12378.0,96933
402,1000000.0,9215
403,30918.0,276463
404,30918.0,247564
405,30918.0,276463
406,347838.0,286459
407,347838.0,286459
408,1000000.0,3271
409,172047.0,184447
410,849912.0,286459
411,241005.0,184447
412,347838.0,286459
413,138842.0,28113
414,138842.0,121401
415,861158.0,47457
416,203578.0,83834
417,203578.0,5226
418,100029.0,39753
419,625491.0,237394
420,411464.0,59234
421,399874.0,3815
422,98049.0,350685
423,1000000.0,76770
424,488055.0,152346
425,612985.0,114129
426,488055.0,152346
427,290348.0,307308
428,92830.0,339796
429,34784.0,307308
430,268753.0,339796
431,212000.0,71255
432,455782.0,307308
433,24402.0,307308
434,27519.0,307308
435,290348.0,307308
436,266850.0,203513
437,239000.0,235236
438,455782.0,307308
439,268753.0,339796
440,268753.0,339796
441,206614.0,141123
442,1000000.0,134051
443,268290.0,258077
444,206614.0,141123
445,392209.0,134051
446,392209.0,134051
447,392209.0,134051
448,65022.0,218405
449,230361.0,236267
450,65022.0,218405
451,327178.0,218405
452,692840.0,9553
453,201452.0,36725
454,479607.0,164275
455,10431.0,357080
456,119405.0,121864
457,351359.0,357080
458,58907.0,27274
459,33583.0,357080
460,114589.0,103671
461,10563.0,326653
462,60991.0,99674
463,472516.0,133441
464,10563.0,326653
465,60991.0,176066
466,10563.0,326653
467,10563.0,326653
468,513821.0,199907
469,10563.0,326653
470,50428.0,319712
471,60991.0,176066
472,769752.0,46096
473,208584.0,252378
474,70651.0,360384
475,70651.0,360384
476,769752.0,7513
477,769752.0,7513
478,47051.0,252378
479,70651.0,360384
480,769752.0,81700
481,47051.0,252378
482,15308.0,202468
483,1000000.0,2538
484,90883.0,159773
485,679352.0,104161
486,54040.0,104161
487,195478.0,332975
488,170109.0,332975
489,149321.0,293870
490,149321.0,293870
491,30598.0,180561
492,30598.0,180561
493,73357.0,190426
494,88948.0,235583
495,226992.0,190426
496,88948.0,252207
497,175181.0,214286
498,252958.0,190426
499,663239.0,39486
500,131579.0,214286
501,252958.0,190426
502,252958.0,190426
503,80205.0,190426
504,201452.0,164275
505,165434.0,316592
506,165434.0,289420
507,73204.0,357080
508,85556.0,289420
509,48557.0,315044
510,165434.0,143010
511,165434.0,289420
512,165434.0,289420
513,13224.0,307308
514,49915.0,289420
515,398086.0,153974
516,24402.0,263251
517,126741.0,210629
518,370285.0,285922
519,684357.0,24744
520,171064.0,307308
521,73566.0,307308
522,398086.0,153974
523,84577.0,316592
524,538695.0,109718
525,472022.0,214524
526,421219.0,85664
527,438318.0,85664
528,438318.0,85664
529,758350.0,47184
530,472022.0,214524
531,348692.0,47184
532,758350.0,47184
533,814771.0,296392
534,593298.0,47184
535,95541.0,334022
536,95541.0,334022
537,194371.0,350722
538,95541.0,334022
539,278936.0,350722
540,437752.0,37022
541,40384.0,151739
542,278936.0,350722
543,91154.0,350722
544,278936.0,350722
545,741.0,234368
546,220977.0,289295
547,280712.0,289295
548,412047.0,169795
549,280712.0,289295
550,50652.0,189036
551,50652.0,60052
552,50652.0,60052
553,741.0,234368
554,379777.0,80271
555,114806.0,289295
556,280712.0,289295
557,1000000.0,81942
558,420675.0,308885
559,405997.0,81942
560,162395.0,308885
561,1000000.0,81942
562,78562.0,286516
563,334420.0,308885
564,1000000.0,81942
565,119907.0,81942
566,420675.0,308885
567,556576.0,81942
568,162395.0,308885
569,107729.0,322055
570,173909.0,194768
571,120450.0,189347
572,103719.0,178920
573,173909.0,194768
574,50629.0,194768
575,307647.0,194148
576,169086.0,316279
577,191817.0,194768
578,407423.0,194768
579,173909.0,194768
580,307647.0,204192
581,169086.0,316279
582,173909.0,194768
583,307647.0,194148
584,407423.0,194768
585,26236.0,190619
586,76402.0,368269
587,76402.0,368269
588,47006.0,212140
589,327359.0,224729
590,305078.0,239258
591,83963.0,239258
592,216078.0,239258
593,12711.0,239258
594,305078.0,239258
595,83963.0,239258
596,16366.0,239258
597,32056.0,265847
598,1000000.0,7487
599,327359.0,224729
600,305078.0,239258
601,29384.0,239258
602,216078.0,239258
603,12711.0,239258
604,32056.0,97975
605,305078.0,239258
606,83963.0,239258
607,37918.0,322180
608,37918.0,322180
609,129309.0,98174
610,37918.0,322180
611,196179.0,9790
