,pair_1,pair_2,ibd_frac,ibd_min_node,ibd_max_node,ibd_nsegments
0,79,347,1.0,53103,186341,38654
1,79,391,1.0,55376,186345,37564
2,79,431,1.0,49302,186340,38438
3,79,870,1.0,45427,186346,37377
4,79,902,1.0,51022,186346,37424
5,79,1175,1.0,49322,186346,37454
6,79,1691,1.0,49227,186345,37616
7,79,1702,1.0,42929,186346,38039
8,79,1907,1.0,35453,186345,37693
9,347,391,1.0,39806,186345,37072
10,347,431,1.0,56870,186341,38454
11,347,870,1.0,45427,186346,37355
12,347,902,1.0,45982,186346,37550
13,347,1175,1.0,51964,186346,37533
14,347,1691,1.0,42351,186345,37383
15,347,1702,1.0,51964,186346,37521
16,347,1907,1.0,38680,186345,36072
17,391,431,1.0,50672,186345,37562
18,391,870,1.0,39617,186346,35532
19,391,902,1.0,47477,186346,37137
20,391,1175,1.0,53000,186346,37801
21,391,1691,1.0,6318,186340,33691
22,391,1702,1.0,43856,186346,38374
23,391,1907,1.0,31516,186341,36082
24,431,870,1.0,44290,186346,38108
25,431,902,1.0,54027,186346,37218
26,431,1175,1.0,52913,186346,37169
27,431,1691,1.0,53849,186345,36613
28,431,1702,1.0,50225,186346,38447
29,431,1907,1.0,39340,186345,36716
30,870,902,1.0,53333,186344,37933
31,870,1175,1.0,40628,186345,38061
32,870,1691,1.0,36150,186346,38019
33,870,1702,1.0,43856,186345,38666
34,870,1907,1.0,52797,186346,37566
35,902,1175,1.0,37727,186345,37078
36,902,1691,1.0,56876,186346,37367
37,902,1702,1.0,22368,186345,38323
38,902,1907,1.0,46704,186346,36865
39,1175,1691,1.0,53000,186346,38172
40,1175,1702,1.0,38111,186334,36758
41,1175,1907,1.0,53822,186346,37020
42,1691,1702,1.0,36567,186346,37447
43,1691,1907,1.0,51223,186341,36580
44,1702,1907,1.0,43538,186346,36268
0,23,46,1.0,29096,186346,37487
1,23,453,1.0,39956,186340,37609
2,23,575,1.0,26592,186341,38240
3,23,645,1.0,48939,186341,38445
4,23,865,1.0,53287,186344,37768
5,23,1070,1.0,57928,186344,36228
6,23,1123,1.0,32822,186341,36496
7,23,1482,1.0,35295,186341,37710
8,23,1654,1.0,30573,186346,36176
9,46,453,1.0,43540,186346,36353
10,46,575,1.0,50163,186346,37676
11,46,645,1.0,50530,186346,37971
12,46,865,1.0,33159,186346,38311
13,46,1070,1.0,56763,186346,38381
14,46,1123,1.0,31968,186346,38335
15,46,1482,1.0,30722,186346,37220
16,46,1654,1.0,52061,186345,37794
17,453,575,1.0,56949,186341,37660
18,453,645,1.0,66804,186341,38498
19,453,865,1.0,51984,186344,37895
20,453,1070,1.0,38291,186344,37393
21,453,1123,1.0,43834,186341,36823
22,453,1482,1.0,57893,186341,37896
23,453,1654,1.0,61588,186346,37446
24,575,645,1.0,38111,186334,37311
25,575,865,1.0,29716,186344,37239
26,575,1070,1.0,47796,186344,38625
27,575,1123,1.0,59638,186340,37391
28,575,1482,1.0,48893,186334,37788
29,575,1654,1.0,40855,186346,37374
30,645,865,1.0,28212,186344,35881
31,645,1070,1.0,48492,186344,37961
32,645,1123,1.0,36877,186340,36879
33,645,1482,1.0,40716,186320,37621
34,645,1654,1.0,58848,186346,38261
35,865,1070,1.0,34637,186341,36784
36,865,1123,1.0,44773,186344,37168
37,865,1482,1.0,53984,186344,38423
38,865,1654,1.0,36478,186346,38241
39,1070,1123,1.0,55172,186344,37542
40,1070,1482,1.0,38327,186344,38477
41,1070,1654,1.0,45657,186346,35951
42,1123,1482,1.0,47348,186340,37979
43,1123,1654,1.0,52687,186346,37428
44,1482,1654,1.0,51736,186346,37196
0,4,131,1.0,30599,186346,37035
1,4,168,1.0,50601,186344,36589
2,4,203,1.0,43501,186345,38067
3,4,551,1.0,52595,186346,37795
4,4,929,1.0,46469,186345,37233
5,4,1061,1.0,56281,186346,38478
6,4,1073,1.0,44971,186345,37168
7,4,1199,1.0,37391,186345,37303
8,4,1493,1.0,51174,186345,38222
9,131,168,1.0,46579,186346,36620
10,131,203,1.0,13474,186346,37283
11,131,551,1.0,32760,186345,37377
12,131,929,1.0,35259,186346,36197
13,131,1061,1.0,43760,186341,37363
14,131,1073,1.0,51451,186346,36399
15,131,1199,1.0,28812,186346,35287
16,131,1493,1.0,58098,186346,36725
17,168,203,1.0,48604,186345,37278
18,168,551,1.0,55818,186346,38453
19,168,929,1.0,50647,186345,38226
20,168,1061,1.0,39968,186346,37951
21,168,1073,1.0,44955,186345,38341
22,168,1199,1.0,57199,186345,38007
23,168,1493,1.0,45521,186345,36989
24,203,551,1.0,46549,186346,38088
25,203,929,1.0,53228,186340,36311
26,203,1061,1.0,35509,186346,38164
27,203,1073,1.0,27646,186341,39006
28,203,1199,1.0,51415,186341,37003
29,203,1493,1.0,14062,186341,36567
30,551,929,1.0,26754,186346,37781
31,551,1061,1.0,18475,186345,36826
32,551,1073,1.0,46521,186346,37289
33,551,1199,1.0,49057,186346,37773
34,551,1493,1.0,40086,186346,37833
35,929,1061,1.0,46771,186346,37401
36,929,1073,1.0,47133,186341,37550
37,929,1199,1.0,30874,186341,36163
38,929,1493,1.0,43784,186341,38161
39,1061,1073,1.0,54344,186346,37545
40,1061,1199,1.0,53233,186346,38343
41,1061,1493,1.0,60153,186346,36763
42,1073,1199,1.0,47133,186340,37836
43,1073,1493,1.0,43328,186337,37096
44,1199,1493,1.0,40036,186340,37731
0,702,786,1.0,32960,186345,37215
1,702,974,1.0,35473,186341,38420
2,702,1019,1.0,49619,186345,37415
3,702,1124,1.0,47187,186345,37102
4,702,1271,1.0,45102,186346,37067
5,702,1285,1.0,43532,186346,38607
6,702,1450,1.0,37140,186346,36289
7,702,1555,1.0,26585,186341,37267
8,702,1850,1.0,46532,186346,37270
9,786,974,1.0,37320,186345,36699
10,786,1019,1.0,58133,186344,37211
11,786,1124,1.0,46668,186341,37445
12,786,1271,1.0,40244,186346,37766
13,786,1285,1.0,60027,186346,37520
14,786,1450,1.0,32042,186346,37650
15,786,1555,1.0,25951,186345,38281
16,786,1850,1.0,40208,186346,38090
