,pair_1,pair_2,ibd_frac,ibd_min_node,ibd_max_node,ibd_nsegments
2319,943,1577,0.402279,359736,359736,1
2320,943,1681,1.0,211160,211160,1
2321,944,1278,1.0,16009,16009,1
2322,945,1178,1.0,294620,294620,1
2323,945,1852,0.413866,178837,178837,1
2324,945,1856,1.0,44886,44886,1
2325,946,1096,1.0,16139,16139,1
2326,947,1433,1.0,232301,232301,1
2327,949,1250,1.0,290522,290522,1
2328,950,1604,0.596164,344692,344692,1
2329,950,1664,0.596164,344692,344692,1
2330,951,1202,1.0,282705,282705,1
2331,951,1403,0.240594,178622,178622,1
2332,951,1631,1.0,17713,17713,1
2333,951,1647,1.0,178622,178622,1
2334,952,1354,1.0,126563,126563,1
2335,955,1415,1.0,11383,11383,1
2336,955,1689,1.0,145058,145058,1
2337,955,1921,0.989605,145058,145058,1
2338,956,961,1.0,213573,213573,1
2339,956,1205,1.0,213573,213573,1
2340,956,1419,0.008396,282813,282813,1
2341,956,1898,1.0,282813,282813,1
2342,956,1963,1.0,213573,213573,1
2343,958,1105,1.0,36932,36932,1
2344,958,1624,1.0,2337,2337,1
2345,959,1311,1.0,38783,38783,1
2346,959,1516,0.549371,369988,369988,1
2347,959,1712,0.549371,369988,369988,1
2348,959,1978,0.549371,369988,369988,1
2349,960,1794,1.0,184682,184682,1
2350,961,1205,1.0,122068,122068,1
2351,961,1419,0.008396,282813,282813,1
2352,961,1898,1.0,282813,282813,1
2353,961,1963,1.0,8285,8285,1
2354,963,1312,0.690088,271642,271642,1
2355,963,1812,1.0,271642,271642,1
2356,963,1984,0.590725,6585,6585,1
2357,964,1671,1.0,73340,73340,1
2358,966,1410,1.0,11270,11270,1
2359,968,1048,1.0,222106,222106,1
2360,968,1120,1.0,181435,181435,1
2361,968,1552,1.0,181435,181435,1
2362,971,1047,1.0,19714,19714,1
2363,971,1589,1.0,111088,111088,1
2364,971,1715,1.0,73856,73856,1
2365,972,1367,1.0,61562,61562,1
2366,972,1594,1.0,61562,61562,1
2367,973,1111,0.813584,161373,161373,1
2368,975,1843,1.0,49325,49325,1
2369,976,1171,1.0,114837,114837,1
2370,976,1230,0.775828,294514,294514,1
2371,976,1746,0.055169,323820,323820,1
2372,976,1814,0.055169,323820,323820,1
2373,977,1952,1.0,365483,365483,1
2374,977,1960,1.0,101297,101297,1
2375,979,1128,1.0,277820,277820,1
2376,979,1502,1.0,169494,169494,1
2377,979,1536,1.0,370942,370942,1
2378,980,1777,0.307482,354101,354101,1
2379,981,1217,0.779633,121064,121064,1
2380,982,1500,1.0,302466,302466,1
2381,982,1803,0.200633,302466,302466,1
2382,983,1215,0.205652,251027,251027,1
2383,984,1383,0.435928,202709,202709,1
2384,986,1437,1.0,53442,53442,1
2385,986,1772,1.0,300179,300179,1
2386,988,1721,0.213345,313876,313876,1
2387,989,1066,0.860774,372173,372173,1
2388,991,1490,1.0,6281,6281,1
2389,991,1966,1.0,6281,6281,1
2390,992,1027,1.0,268465,268465,1
2391,994,1076,0.437852,76616,76616,1
2392,994,1245,0.492759,338047,338047,1
2393,994,1258,0.069389,76617,76617,1
2394,994,1571,1.0,16926,16926,1
2395,994,1697,0.507241,25928,25928,1
2396,996,1758,1.0,17083,17083,1
2397,999,1972,1.0,37622,37622,1
2398,1000,1085,1.0,316911,316911,1
2399,1001,1658,0.203701,87834,87834,1
2400,1002,1799,0.174742,248019,248019,1
2401,1003,1192,1.0,143934,143934,1
2402,1003,1464,0.238816,228014,228014,1
2403,1003,1570,0.50408,278280,278280,1
2404,1004,1207,1.0,161538,161538,1
2405,1004,1377,1.0,128293,128293,1
2406,1004,1866,1.0,161538,161538,1
2407,1004,1941,1.0,24367,24367,1
2408,1006,1107,1.0,62376,62376,1
2409,1006,1388,1.0,46994,46994,1
2410,1006,1924,0.095223,231728,231728,1
2411,1007,1089,1.0,18648,18648,1
2412,1007,1524,1.0,82291,82291,1
2413,1008,1077,1.0,345527,345527,1
2414,1008,1352,1.0,345527,345527,1
2415,1008,1474,1.0,345527,345527,1
2416,1008,1774,0.470422,167981,167981,1
2417,1009,1796,1.0,34315,34315,1
2418,1010,1167,1.0,33674,33674,1
2419,1011,1766,0.199425,130738,130738,1
2420,1012,1324,1.0,52883,52883,1
2421,1016,1526,1.0,148810,148810,1
2422,1016,1537,1.0,94662,94662,1
2423,1016,1633,1.0,94662,94662,1
2424,1016,1716,1.0,32388,32388,1
2425,1016,1940,1.0,7323,7323,1
2426,1017,1632,1.0,104193,104193,1
2427,1017,1726,1.0,104193,104193,1
2428,1019,1223,0.160465,209869,209869,1
2429,1019,1930,1.0,8637,8637,1
2430,1020,1645,1.0,95911,95911,1
2431,1021,1469,1.0,49329,49329,1
2432,1022,1030,1.0,33037,33037,1
2433,1022,1141,1.0,321628,321628,1
2434,1024,1266,1.0,134944,134944,1
2435,1024,1396,1.0,12099,12099,1
2436,1025,1088,1.0,222531,222531,1
2437,1026,1108,0.750284,121123,121123,1
2438,1026,1143,1.0,73958,73958,1
2439,1026,1515,0.750284,121123,121123,1
2440,1028,1083,1.0,345115,345115,1
2441,1028,1449,1.0,345115,345115,1
2442,1028,1748,0.24515,368674,368674,1
2443,1028,1974,1.0,4013,4013,1
2444,1029,1063,1.0,171068,171068,1
2445,1029,1170,1.0,171068,171068,1
2446,1029,1505,1.0,171068,171068,1
2447,1030,1141,1.0,321628,321628,1
2448,1031,1381,1.0,3076,3076,1
2449,1031,1543,0.671103,317694,317694,1
2450,1031,1682,0.328897,268690,268690,1
2451,1031,1925,0.590575,233724,233724,1
2452,1032,1996,1.0,354439,354439,1
2453,1034,1420,1.0,8833,8833,1
2454,1035,1186,1.0,193538,193538,1
2455,1035,1608,1.0,160006,160006,1
2456,1035,1823,1.0,46261,46261,1
2457,1036,1323,1.0,57146,57146,1
2458,1036,1723,1.0,212516,212516,1
2459,1037,1322,1.0,16962,16962,1
2460,1040,1204,1.0,158209,158209,1
2461,1040,1294,1.0,346126,346126,1
2462,1040,1435,1.0,158209,158209,1
2463,1040,1619,1.0,200677,200677,1
2464,1041,1350,1.0,108904,108904,1
2465,1041,1541,1.0,108904,108904,1
2466,1043,1333,0.221055,61938,61938,1
2467,1043,1341,1.0,61938,61938,1
2468,1045,1313,0.107248,111873,111873,1
2469,1045,1417,0.107248,111873,111873,1
2470,1047,1589,1.0,111088,111088,1
2471,1047,1715,1.0,73856,73856,1
2472,1048,1120,1.0,222106,222106,1
2473,1048,1552,1.0,222106,222106,1
2474,1049,1139,1.0,2656,2656,1
2475,1049,1714,1.0,128693,128693,1
2476,1049,1900,1.0,128693,128693,1
2477,1051,1657,0.755083,297185,297185,1
2478,1051,1848,0.755083,297185,297185,1
2479,1052,1267,1.0,263451,263451,1
2480,1052,1801,1.0,16702,16702,1
2481,1052,1999,0.978629,263451,263451,1
2482,1053,1282,1.0,30124,30124,1
2483,1053,1544,1.0,30124,30124,1
2484,1053,1816,1.0,30124,30124,1
2485,1055,1172,0.76743,117172,117172,1
2486,1055,1177,0.23257,100244,100244,1
2487,1055,1538,0.23257,100244,100244,1
2488,1055,1735,0.76743,117172,117172,1
2489,1055,1931,0.76743,184758,184758,1
2490,1056,1983,1.0,100423,100423,1
2491,1058,1440,1.0,5076,5076,1
2492,1058,1661,1.0,206147,206147,1
2493,1059,1079,1.0,254235,254235,1
2494,1059,1380,1.0,36783,36783,1
2495,1060,1949,1.0,170232,170232,1
2496,1062,1343,1.0,151857,151857,1
2497,1062,1494,0.402279,359736,359736,1
2498,1062,1577,1.0,256379,256379,1
2499,1062,1681,0.402279,359736,359736,1
2500,1063,1170,1.0,58557,58557,1
2501,1063,1505,1.0,15189,15189,1
2502,1065,1218,0.785364,226453,226453,1
2503,1065,1369,1.0,226453,226453,1
