,pair_1,pair_2,ibd_frac,ibd_min_node,ibd_max_node,ibd_nsegments
40,1455,1541,1.0,191062,1746203,283039
41,1455,1880,1.0,92931,1746195,284392
42,1534,1541,1.0,223508,1746204,282792
43,1534,1880,1.0,245759,1746204,286617
44,1541,1880,1.0,261370,1746203,281919
0,144,295,1.0,67590,1746204,282116
1,144,372,1.0,279033,1746202,286115
2,144,468,1.0,164281,1746202,286148
3,144,488,1.0,101267,1746204,282063
4,144,783,1.0,198670,1746205,283745
5,144,1033,1.0,43149,1746203,281539
6,144,1230,1.0,5203,1746196,278313
7,144,1410,1.0,150381,1746202,283605
8,144,1892,1.0,154329,1746205,283972
9,295,372,1.0,79921,1746204,280622
10,295,468,1.0,224944,1746204,282234
11,295,488,1.0,72443,1746202,283315
12,295,783,1.0,216877,1746205,283511
13,295,1033,1.0,238673,1746204,284598
14,295,1230,1.0,20935,1746204,279327
15,295,1410,1.0,221794,1746204,280815
16,295,1892,1.0,161239,1746205,285174
17,372,468,1.0,193412,1746201,284649
18,372,488,1.0,121060,1746204,284762
19,372,783,1.0,149295,1746205,285546
20,372,1033,1.0,121060,1746203,280292
21,372,1230,1.0,240519,1746202,286560
22,372,1410,1.0,199654,1746198,284636
23,372,1892,1.0,148222,1746205,283587
24,468,488,1.0,263548,1746204,282900
25,468,783,1.0,20325,1746205,276900
26,468,1033,1.0,92088,1746203,282577
27,468,1230,1.0,147055,1746202,281331
28,468,1410,1.0,248179,1746201,284024
29,468,1892,1.0,207203,1746205,283507
30,488,783,1.0,261616,1746205,286874
31,488,1033,1.0,38787,1746204,276995
32,488,1230,1.0,93961,1746204,282286
33,488,1410,1.0,208390,1746204,283474
34,488,1892,1.0,163353,1746205,283192
35,783,1033,1.0,111184,1746205,284739
36,783,1230,1.0,116228,1746205,283965
37,783,1410,1.0,263764,1746205,283218
38,783,1892,1.0,192118,1746204,285630
39,1033,1230,1.0,163063,1746203,284762
40,1033,1410,1.0,276512,1746203,280466
41,1033,1892,1.0,290675,1746205,283665
42,1230,1410,1.0,184499,1746202,284373
43,1230,1892,1.0,137850,1746205,284068
44,1410,1892,1.0,134121,1746205,283760
0,144,308,1.0,207445,1746202,285955
1,144,701,1.0,259617,1746204,286348
2,144,791,1.0,25575,1746204,277139
3,144,978,1.0,102549,1746205,282204
4,144,1121,1.0,207450,1746204,285805
5,144,1285,1.0,24567,1746204,279708
6,144,1452,1.0,18514,1746202,281218
7,144,1580,1.0,242903,1746204,282852
8,144,1641,1.0,176355,1746202,284851
9,308,701,1.0,273724,1746204,284494
10,308,791,1.0,200784,1746204,284522
11,308,978,1.0,50139,1746205,282119
12,308,1121,1.0,194364,1746204,285003
13,308,1285,1.0,164788,1746204,283413
14,308,1452,1.0,94227,1746198,282259
15,308,1580,1.0,327571,1746204,285293
16,308,1641,1.0,256272,1746200,283807
17,701,791,1.0,127733,1746203,285419
18,701,978,1.0,221256,1746205,283553
19,701,1121,1.0,298456,1746203,285628
20,701,1285,1.0,145949,1746203,282342
21,701,1452,1.0,152453,1746204,284070
22,701,1580,1.0,191289,1746203,284547
23,701,1641,1.0,219730,1746204,285241
24,791,978,1.0,271285,1746205,284046
25,791,1121,1.0,220224,1746201,281024
26,791,1285,1.0,193112,1746202,280623
27,791,1452,1.0,174781,1746204,283107
28,791,1580,1.0,19779,1746201,279680
29,791,1641,1.0,256462,1746204,281445
30,978,1121,1.0,265721,1746205,284915
31,978,1285,1.0,184947,1746205,281544
32,978,1452,1.0,110492,1746205,281411
33,978,1580,1.0,156684,1746205,286351
34,978,1641,1.0,239779,1746205,284607
35,1121,1285,1.0,265590,1746202,283087
36,1121,1452,1.0,139867,1746204,284059
37,1121,1580,1.0,260487,1746200,283778
38,1121,1641,1.0,265537,1746204,284303
39,1285,1452,1.0,297157,1746204,285931
40,1285,1580,1.0,182928,1746202,282740
41,1285,1641,1.0,149605,1746204,285864
