,pair_1,pair_2,ibd_frac,ibd_min_node,ibd_max_node,ibd_nsegments
0,10,378,1.0,10695,23779,3917
1,10,520,1.0,11524,23781,4186
2,10,831,1.0,10945,23776,3969
3,10,867,1.0,11505,23779,4023
4,10,904,1.0,13712,23779,4173
5,10,958,1.0,9732,23781,3778
6,10,1244,1.0,10611,23779,3962
7,10,1388,1.0,11633,23779,4105
8,10,1726,1.0,12914,23776,4057
9,378,520,1.0,11764,23781,4075
10,378,831,1.0,11829,23779,3861
11,378,867,1.0,10556,23776,3745
12,378,904,1.0,7851,23778,3729
13,378,958,1.0,9073,23781,3812
14,378,1244,1.0,10687,23778,4107
15,378,1388,1.0,13060,23776,4133
16,378,1726,1.0,10976,23779,3953
17,520,831,1.0,11742,23781,3774
18,520,867,1.0,10375,23781,3865
19,520,904,1.0,11012,23781,3632
20,520,958,1.0,11430,23779,3845
21,520,1244,1.0,10292,23781,4172
22,520,1388,1.0,11012,23781,3935
23,520,1726,1.0,8641,23781,3771
24,831,867,1.0,12572,23779,3851
25,831,904,1.0,10793,23779,3905
26,831,958,1.0,12576,23781,4141
27,831,1244,1.0,6408,23779,3902
28,831,1388,1.0,11129,23779,4144
29,831,1726,1.0,11345,23763,4042
30,867,904,1.0,11674,23778,4006
31,867,958,1.0,12506,23781,3686
32,867,1244,1.0,8872,23778,3889
33,867,1388,1.0,12411,23774,3920
34,867,1726,1.0,11674,23779,4128
35,904,958,1.0,11337,23781,3963
36,904,1244,1.0,11186,23775,4173
37,904,1388,1.0,10101,23778,3951
38,904,1726,1.0,9952,23779,3697
39,958,1244,1.0,13355,23781,3817
40,958,1388,1.0,11633,23781,4057
41,958,1726,1.0,11548,23781,4009
42,1244,1388,1.0,12729,23778,4264
43,1244,1726,1.0,13059,23779,4250
44,1388,1726,1.0,11122,23779,4449
0,231,540,1.0,11322,23777,3944
1,231,560,1.0,8249,23781,3868
2,231,818,1.0,10287,23781,3909
3,231,851,1.0,12197,23780,4131
4,231,1174,1.0,10695,23779,3862
5,231,1265,1.0,12266,23781,3977
6,231,1467,1.0,10707,23776,3872
7,231,1623,1.0,9179,23777,3937
8,231,1733,1.0,12030,23778,3821
9,540,560,1.0,14268,23781,4307
10,540,818,1.0,12555,23781,4033
11,540,851,1.0,10703,23780,4058
12,540,1174,1.0,12253,23779,3916
13,540,1265,1.0,12020,23781,3996
14,540,1467,1.0,11002,23777,3601
15,540,1623,1.0,12105,23776,4259
16,540,1733,1.0,11110,23778,3725
17,560,818,1.0,7145,23779,4211
18,560,851,1.0,12398,23781,4127
19,560,1174,1.0,9767,23781,3888
20,560,1265,1.0,6622,23781,3839
21,560,1467,1.0,12514,23781,4131
22,560,1623,1.0,4315,23781,3190
23,560,1733,1.0,10995,23781,4184
24,818,851,1.0,12043,23781,3929
25,818,1174,1.0,12506,23781,4029
26,818,1265,1.0,7235,23781,3882
27,818,1467,1.0,11737,23781,4077
28,818,1623,1.0,7145,23781,3956
29,818,1733,1.0,8204,23781,3803
30,851,1174,1.0,13260,23780,4049
31,851,1265,1.0,12339,23781,4208
32,851,1467,1.0,11137,23780,4062
33,851,1623,1.0,12036,23780,3960
34,851,1733,1.0,11803,23780,4086
35,1174,1265,1.0,6576,23781,3394
36,1174,1467,1.0,10586,23779,4053
37,1174,1623,1.0,8644,23779,3911
38,1174,1733,1.0,12852,23779,3574
39,1265,1467,1.0,11092,23781,3910
40,1265,1623,1.0,12360,23781,4141
41,1265,1733,1.0,12666,23781,3872
42,1467,1623,1.0,12514,23777,4048
43,1467,1733,1.0,10608,23778,3605
44,1623,1733,1.0,13045,23778,4230
0,11,351,1.0,12145,23775,3969
1,11,409,1.0,8754,23778,4019
2,11,859,1.0,11688,23776,3817
3,11,954,1.0,10200,23776,3760
4,11,1534,1.0,12276,23775,4055
5,11,1643,1.0,6436,23779,4188
6,11,1781,1.0,12150,23779,4157
7,11,1861,1.0,11699,23781,4024
8,11,1993,1.0,13678,23781,4023
9,351,409,1.0,11404,23778,3894
10,351,859,1.0,12102,23776,4157
11,351,954,1.0,12055,23776,3718
12,351,1534,1.0,12586,23775,4006
13,351,1643,1.0,10124,23779,3897
14,351,1781,1.0,11395,23779,4074
