,ibd_lengths,ibd_nodes
0,3527.0,135862
1,9853.0,137130
2,599850.0,9175
3,25901.0,201457
4,197121.0,181883
5,15060.0,141225
6,15048.0,193659
7,1705.0,355118
8,35771.0,96034
9,1852.0,310238
10,502720.0,2180
11,7179.0,351259
12,1268.0,166156
13,25305.0,55622
14,14521.0,297392
15,19876.0,9175
16,7343.0,347751
17,11731.0,96034
18,6316.0,265797
19,113233.0,229593
20,22019.0,265797
21,45330.0,55622
22,164370.0,55622
23,56854.0,265797
24,56854.0,265797
25,5837.0,181883
26,14712.0,177089
27,5837.0,181883
28,20163.0,363565
29,21379.0,184169
30,44773.0,55622
31,65589.0,55622
32,54198.0,55622
33,24734.0,322414
34,24734.0,322414
35,19117.0,242678
36,68224.0,265797
37,15048.0,193659
38,1268.0,166156
39,4144.0,160641
40,9853.0,137130
41,27349.0,217343
42,64510.0,265797
43,20163.0,363565
44,8509.0,233528
45,7179.0,351259
46,2421.0,328382
47,5864.0,105022
48,9853.0,137130
49,10959.0,310238
50,11464.0,357795
51,62069.0,352161
52,3672.0,334748
53,13629.0,292598
54,15820.0,357795
55,8622.0,231908
56,38869.0,298077
57,30700.0,352161
58,738092.0,17914
59,7109.0,364603
60,11464.0,357795
61,14365.0,298077
62,28003.0,352161
63,202503.0,5374
64,62069.0,352161
65,10627.0,173003
66,59058.0,193265
67,36835.0,121729
68,36901.0,352161
69,9795.0,354610
70,13629.0,292598
71,952.0,338125
72,6177.0,352161
73,18571.0,231908
74,7134.0,193265
75,15820.0,219685
76,54473.0,352161
77,11464.0,357795
78,52565.0,44628
79,12053.0,352161
80,5567.0,158026
81,5567.0,373138
82,27009.0,352161
83,11464.0,357795
84,24796.0,87942
85,1521.0,186122
86,5567.0,158026
87,3541.0,302461
88,1517.0,343992
89,526.0,253172
90,25199.0,332216
91,44344.0,253172
92,6944.0,357795
93,51547.0,283651
94,12215.0,87942
95,62069.0,352161
96,80422.0,238943
97,13784.0,338125
98,25199.0,332216
99,34473.0,283651
100,25412.0,68706
101,11464.0,357795
102,10141.0,272566
103,15886.0,224321
104,22675.0,343992
105,12053.0,352161
106,37812.0,95722
107,25412.0,68706
108,34434.0,95722
109,8497.0,255584
110,43744.0,253172
111,5594.0,193265
112,446.0,116100
113,952.0,338125
114,36901.0,352161
115,14365.0,298077
116,6168.0,267063
117,69093.0,217758
118,8497.0,255584
119,14365.0,298077
120,24925.0,255584
121,30167.0,253172
122,22716.0,95722
123,20309.0,352161
124,1517.0,343992
125,44344.0,253172
126,193723.0,92609
127,24619.0,238943
128,75824.0,92609
129,60774.0,217758
130,15820.0,219685
131,34473.0,283651
132,6944.0,357795
133,51931.0,280226
134,17041.0,365424
135,45728.0,281228
136,27016.0,87238
137,15820.0,357795
138,1192.0,354610
