,ibd_lengths,ibd_nodes
0,536388.0,228288
1,1000000.0,228288
2,1000000.0,369509
3,242983.0,14893
4,552586.0,277716
5,552586.0,277716
6,1000000.0,108137
7,552586.0,277716
8,552586.0,277716
9,552586.0,277716
10,552586.0,277716
11,419333.0,345530
12,1000000.0,57072
13,1000000.0,290565
14,1000000.0,290565
15,1000000.0,290565
16,1000000.0,290565
17,158963.0,352378
18,1000000.0,12498
19,1000000.0,3560
20,1000000.0,357861
21,1000000.0,357861
22,1000000.0,357861
23,1000000.0,357861
24,1000000.0,247974
25,1000000.0,213465
26,1000000.0,213465
27,1000000.0,213465
28,1000000.0,213465
29,6011.0,69412
30,993989.0,58356
31,993989.0,58356
32,203997.0,34403
33,1000000.0,148386
34,1000000.0,256245
35,1000000.0,173329
36,1000000.0,173329
37,1000000.0,303333
38,881203.0,350306
39,1000000.0,303333
40,1000000.0,303333
41,1000000.0,173329
42,1000000.0,16098
43,1000000.0,219087
44,947866.0,78817
45,947866.0,50458
46,947866.0,322787
47,395966.0,42040
48,947866.0,78817
49,947866.0,195760
50,947866.0,195760
51,947866.0,50458
52,389813.0,318217
53,682537.0,287268
54,1000000.0,208142
55,1000000.0,208142
56,1000000.0,208142
57,1000000.0,208142
58,682537.0,287268
59,389813.0,318217
60,1000000.0,318217
61,389813.0,318217
62,319901.0,208142
63,242983.0,108137
64,757017.0,22010
65,315102.0,289725
66,684898.0,282748
67,1000000.0,51194
68,684898.0,325961
69,1000000.0,3609
70,684898.0,282748
71,1000000.0,38519
72,1000000.0,171792
73,1000000.0,296399
74,1000000.0,5150
75,1000000.0,296399
76,1000000.0,296399
77,1000000.0,71213
78,1000000.0,118301
79,721270.0,237867
80,721270.0,313002
81,278730.0,311584
82,1000000.0,19563
83,1000000.0,19563
84,832618.0,253942
85,1000000.0,253942
86,832618.0,253942
87,1000000.0,10486
88,1000000.0,31861
89,1000000.0,248899
90,362413.0,278654
91,362413.0,278654
92,1000000.0,123261
93,1000000.0,248899
94,1000000.0,69028
95,1000000.0,137409
96,362413.0,278654
97,1000000.0,137409
98,169671.0,277241
99,1000000.0,277241
100,1000000.0,17013
101,1000000.0,354763
102,1000000.0,277241
103,169671.0,277241
104,767430.0,224615
105,1000000.0,308137
106,568219.0,308137
107,200633.0,308137
108,767430.0,224615
109,1000000.0,30228
110,307482.0,266457
111,692518.0,330131
112,692518.0,330131
113,1000000.0,24797
114,1000000.0,326079
115,1000000.0,153719
116,1000000.0,153719
117,1000000.0,78800
118,1000000.0,64256
119,1000000.0,230084
120,647548.0,230084
121,510489.0,230084
122,1000000.0,230084
123,1000000.0,64256
124,1000000.0,230084
125,1000000.0,332821
126,88784.0,376329
127,1000000.0,17361
